"rank","seller_id","priority_score","late_delivery_rate","late_rate_norm","score_late_component","canceled_or_unavailable_rate","canceled_rate_norm","score_cancel_component","median_delivery_delay_days","positive_delay_norm","score_delay_component","seller_order_count","volume_exposure_norm","score_volume_component"
60,"7d13fca15225358621be4086e1eb0964",0.240253124162353,0.121863799283154,0.324970131421744,0.129988052568698,0,0,0,0,0,0,565,0.735100477291032,0.110265071593655
61,"2a261b5b644fa05f4f2700eb93544f2c",0.239501727088952,0.196078431372549,0.522875816993464,0.209150326797386,0,0,0,0,0,0,51,0.202342668610443,0.0303514002915665
62,"28f10b1c5e5abb9d4857745bede6147c",0.239375878228519,0.214285714285714,0.571428571428571,0.228571428571429,0,0,0,0,0,0,28,0.0720296643806015,0.0108044496570902
63,"8b321bb669392f5163d04c59e235e066",0.238642471007676,0.104301075268817,0.278136200716846,0.111254480286738,0,0,0,0,0,0,943,0.849253271472919,0.127387990720938
64,"3d5d0dc7073a299e31fa718ce1bc00b6",0.236491886366298,0.0952380952380952,0.253968253968254,0.101587301587302,0.0434782608695652,0.521739130434783,0.130434782608696,0,0,0,23,0.0297986811353401,0.00446980217030101
65,"7c67e1448b00f6e969d365cea6b010ab",0.236177161493307,0.100719424460432,0.268585131894484,0.107434052757794,0,0,0,0,0,0,982,0.858287391570089,0.128743108735513
66,"fffd5413c0700ac820c7069d66d98c89",0.235402429050469,0.140350877192982,0.374269005847953,0.149707602339181,0.0166666666666667,0.2,0.05,0,0,0,60,0.237965511408586,0.0356948267112879
67,"1025f0e2d44d7041d6cf58b6550e0bfa",0.234218929303772,0.101098901098901,0.26959706959707,0.107838827838828,0,0,0,0,0,0,915,0.842534009766298,0.126380101464945
68,"4917cee8d902e13428c3ec4b1ca6f315",0.232355732257179,0.032258064516129,0.0860215053763441,0.0344086021505376,0.0606060606060606,0.727272727272727,0.181818181818182,0,0,0,33,0.10752632192306,0.016128948288459
69,"2c9e548be18521d1c43cde1c582c6de8",0.232284612331351,0.161290322580645,0.43010752688172,0.172043010752688,0,0,0,0,0,0,126,0.401610677191084,0.0602416015786625
70,"f615fe7efbef0f4f08fd3086bc7a3e60",0.231874281748694,0.0909090909090909,0.242424242424242,0.096969696969697,0.0434782608695652,0.521739130434783,0.130434782608696,0,0,0,23,0.0297986811353401,0.00446980217030101
